email_id,subject_line,sender_email,sender_domain,email_date,company_name,company_confidence,role_title,role_confidence,status,status_confidence,pipeline_status,opportunity_type,thread_id,thread_email_count,days_since_contact,priority_score,priority_level,recommended_action,response_type,salary_info,location_type,requires_review,review_flags
email_00001,"Thank you for applying to Example Corp",recruiting@example.com,example.com,2025-05-15 14:30:25,Example Corp,85,Business Analyst,90,applied,80,warm,direct_application,thread_001,1,28,65,Medium,Consider follow-up,no_response,"$70,000-$85,000",remote,false,
email_00002,"Interview scheduled for Project Manager role",talent@sampleinc.com,sampleinc.com,2025-06-08 09:15:00,Sample Inc,95,Project Manager,95,interview_scheduled,95,hot,recruiter_outreach,thread_002,3,5,85,Critical,Prepare for interview,multi_exchange,Competitive,hybrid,false,
email_00003,"Update on your Data Analyst application",hr@democompany.com,democompany.com,2025-04-20 16:45:30,Demo Company,80,Data Analyst,85,rejected,85,closed,direct_application,thread_003,2,54,25,Inactive,No action needed,responded_negative,$60k-$75k,onsite,false,
email_00004,"Following up on Senior Analyst position",contact@testindustries.com,testindustries.com,2025-05-25 11:20:15,Test Industries,75,Senior Analyst,80,follow_up,70,cooling,recruiter_outreach,thread_004,4,18,55,Medium,Send polite follow-up,multi_exchange,"$80,000+",remote,false,
email_00005,"Re: PMO Manager Opportunity",noreply@mocksolutions.com,mocksolutions.com,2025-06-10 13:05:45,Mock Solutions,60,PMO Manager,70,unknown,45,unknown_timeline,other,thread_005,1,3,40,Low,Review status,no_response,,hybrid,true,"Low status confidence"
email_00006,"Thanks for your interest in our team",jobs@innovation-labs.com,innovation-labs.com,2025-05-30 10:45:00,Innovation Labs,90,Product Owner,85,applied,75,warm,direct_application,thread_006,1,14,70,High,Monitor - no action needed,responded,$90k-$110k,remote,false,
email_00007,"Screening call scheduled - Technical Lead",recruiting@techstartup.io,techstartup.io,2025-06-11 15:30:20,TechStartup,95,Technical Lead,90,interview_scheduled,90,hot,recruiter_outreach,thread_007,2,2,88,Critical,Prepare for interview,multi_exchange,DOE,remote,false,
email_00008,"Application received for Operations Manager",talent@globalcorp.com,globalcorp.com,2025-03-15 12:15:30,Global Corp,85,Operations Manager,80,applied,80,ghosted,direct_application,thread_008,1,89,30,Inactive,Send follow-up or mark inactive,no_response,"$75,000-$90,000",onsite,false,
email_00009,"Thank you for applying",automation@ats-platform.com,ats-platform.com,2025-06-05 14:20:10,Digital Solutions,70,Business Systems Analyst,75,applied,70,warm,direct_application,thread_009,1,8,72,High,Monitor - no action needed,responded,Competitive,hybrid,false,
email_00010,"Re: Consulting Project Manager Role",hr@enterprise-solutions.com,enterprise-solutions.com,2025-05-18 09:30:45,Enterprise Solutions,80,Consulting Project Manager,85,follow_up,65,cooling,networking,thread_010,3,26,58,Medium,Consider follow-up,multi_exchange,"$95,000-$120,000",hybrid,false,
